precision,recall,f1,number,category,fold,epoch,label_type,data_sample,model_type,accuracy,steps
0.13970588235294118,0.084070796460177,0.10497237569060773,226.0,BEHÖRDE,0,0.1,Spanish,v3,Large,,0
0.2867647058823529,0.18571428571428572,0.2254335260115607,210.0,BEHÖRDE,0,0.2,Spanish,v3,Large,,1
0.27205882352941174,0.2605633802816901,0.2661870503597122,142.0,BEHÖRDE,0,0.3,Spanish,v3,Large,,2
0.14705882352941177,0.21505376344086022,0.17467248908296942,93.0,BEHÖRDE,0,0.4,Spanish,v3,Large,,3
0.0661764705882353,0.14754098360655737,0.09137055837563453,61.0,BEHÖRDE,0,0.5,Spanish,v3,Large,,4
0.03676470588235294,0.1,0.053763440860215055,50.0,BEHÖRDE,0,0.6,Spanish,v3,Large,,5
0.029411764705882353,0.09090909090909091,0.04444444444444444,44.0,BEHÖRDE,0,0.7,Spanish,v3,Large,,6
0.04411764705882353,0.12,0.06451612903225806,50.0,BEHÖRDE,0,0.8,Spanish,v3,Large,,7
0.08823529411764706,0.2,0.12244897959183675,60.0,BEHÖRDE,0,0.9,Spanish,v3,Large,,8
0.10294117647058823,0.22950819672131148,0.14213197969543148,61.0,BEHÖRDE,0,1.0,Spanish,v3,Large,,9
0.125,0.26153846153846155,0.1691542288557214,65.0,BEHÖRDE,0,1.1,Spanish,v3,Large,,10
0.11764705882352941,0.24615384615384617,0.15920398009950248,65.0,BEHÖRDE,0,1.2,Spanish,v3,Large,,11
0.10294117647058823,0.22580645161290322,0.1414141414141414,62.0,BEHÖRDE,0,1.3,Spanish,v3,Large,,12
0.058823529411764705,0.1568627450980392,0.0855614973262032,51.0,BEHÖRDE,0,1.4,Spanish,v3,Large,,13
0.051470588235294115,0.1590909090909091,0.07777777777777778,44.0,BEHÖRDE,0,1.5,Spanish,v3,Large,,14
0.07352941176470588,0.17543859649122806,0.10362694300518134,57.0,BEHÖRDE,0,1.6,Spanish,v3,Large,,15
0.07352941176470588,0.17543859649122806,0.10362694300518134,57.0,BEHÖRDE,0,1.7,Spanish,v3,Large,,16
0.09558823529411764,0.22033898305084745,0.13333333333333333,59.0,BEHÖRDE,0,1.8,Spanish,v3,Large,,17
0.10294117647058823,0.23728813559322035,0.14358974358974358,59.0,BEHÖRDE,0,1.9,Spanish,v3,Large,,18
0.09558823529411764,0.24074074074074073,0.1368421052631579,54.0,BEHÖRDE,0,2.0,Spanish,v3,Large,,19
0.17647058823529413,0.25806451612903225,0.2096069868995633,93.0,BEHÖRDE,0,2.1,Spanish,v3,Large,,20
0.21323529411764705,0.29,0.24576271186440676,100.0,BEHÖRDE,0,2.2,Spanish,v3,Large,,21
0.08088235294117647,0.22448979591836735,0.11891891891891893,49.0,BEHÖRDE,0,2.3,Spanish,v3,Large,,22
0.07352941176470588,0.2127659574468085,0.10928961748633881,47.0,BEHÖRDE,0,2.4,Spanish,v3,Large,,23
0.125,0.21518987341772153,0.15813953488372093,79.0,BEHÖRDE,0,2.5,Spanish,v3,Large,,24
0.11029411764705882,0.21739130434782608,0.14634146341463414,69.0,BEHÖRDE,0,2.6,Spanish,v3,Large,,25
0.04411764705882353,0.15,0.06818181818181818,40.0,BEHÖRDE,0,2.7,Spanish,v3,Large,,26
0.051470588235294115,0.18421052631578946,0.08045977011494251,38.0,BEHÖRDE,0,2.8,Spanish,v3,Large,,27
0.10294117647058823,0.208955223880597,0.13793103448275862,67.0,BEHÖRDE,0,2.9,Spanish,v3,Large,,28
0.14705882352941177,0.2631578947368421,0.18867924528301885,76.0,BEHÖRDE,0,3.0,Spanish,v3,Large,,29
0.20588235294117646,0.28,0.23728813559322035,100.0,BEHÖRDE,0,3.1,Spanish,v3,Large,,30
0.13970588235294118,0.2753623188405797,0.18536585365853658,69.0,BEHÖRDE,0,3.2,Spanish,v3,Large,,31
0.0661764705882353,0.20454545454545456,0.09999999999999999,44.0,BEHÖRDE,0,3.3,Spanish,v3,Large,,32
0.07352941176470588,0.22727272727272727,0.11111111111111112,44.0,BEHÖRDE,0,3.4,Spanish,v3,Large,,33
0.0661764705882353,0.20454545454545456,0.09999999999999999,44.0,BEHÖRDE,0,3.5,Spanish,v3,Large,,34
0.08823529411764706,0.21428571428571427,0.125,56.0,BEHÖRDE,0,3.6,Spanish,v3,Large,,35
0.15441176470588236,0.2876712328767123,0.20095693779904306,73.0,BEHÖRDE,0,3.7,Spanish,v3,Large,,36
0.13970588235294118,0.2753623188405797,0.18536585365853658,69.0,BEHÖRDE,0,3.8,Spanish,v3,Large,,37
0.125,0.25757575757575757,0.16831683168316833,66.0,BEHÖRDE,0,3.9,Spanish,v3,Large,,38
0.08088235294117647,0.2037037037037037,0.11578947368421053,54.0,BEHÖRDE,0,4.0,Spanish,v3,Large,,39
0.125,0.24285714285714285,0.16504854368932037,70.0,BEHÖRDE,0,4.1,Spanish,v3,Large,,40
0.11029411764705882,0.2459016393442623,0.15228426395939085,61.0,BEHÖRDE,0,4.2,Spanish,v3,Large,,41
0.09558823529411764,0.22033898305084745,0.13333333333333333,59.0,BEHÖRDE,0,4.3,Spanish,v3,Large,,42
0.07352941176470588,0.2,0.10752688172043011,50.0,BEHÖRDE,0,4.4,Spanish,v3,Large,,43
0.11764705882352941,0.25,0.15999999999999998,64.0,BEHÖRDE,0,4.5,Spanish,v3,Large,,44
0.16176470588235295,0.27848101265822783,0.20465116279069767,79.0,BEHÖRDE,0,4.6,Spanish,v3,Large,,45
0.15441176470588236,0.28378378378378377,0.2,74.0,BEHÖRDE,0,4.7,Spanish,v3,Large,,46
0.125,0.26153846153846155,0.1691542288557214,65.0,BEHÖRDE,0,4.8,Spanish,v3,Large,,47
0.08823529411764706,0.2222222222222222,0.12631578947368421,54.0,BEHÖRDE,0,4.9,Spanish,v3,Large,,48
0.11764705882352941,0.27586206896551724,0.16494845360824742,58.0,BEHÖRDE,0,5.0,Spanish,v3,Large,,49
0.20588235294117646,0.3111111111111111,0.24778761061946902,90.0,BEHÖRDE,0,5.1,Spanish,v3,Large,,50
0.21323529411764705,0.29896907216494845,0.24892703862660945,97.0,BEHÖRDE,0,5.2,Spanish,v3,Large,,51
0.11029411764705882,0.24193548387096775,0.15151515151515152,62.0,BEHÖRDE,0,5.3,Spanish,v3,Large,,52
0.10294117647058823,0.2692307692307692,0.14893617021276595,52.0,BEHÖRDE,0,5.4,Spanish,v3,Large,,53
0.10294117647058823,0.24561403508771928,0.1450777202072539,57.0,BEHÖRDE,0,5.5,Spanish,v3,Large,,54
0.1323529411764706,0.2608695652173913,0.17560975609756097,69.0,BEHÖRDE,0,5.6,Spanish,v3,Large,,55
0.16176470588235295,0.3013698630136986,0.2105263157894737,73.0,BEHÖRDE,0,5.7,Spanish,v3,Large,,56
0.17647058823529413,0.3287671232876712,0.22966507177033493,73.0,BEHÖRDE,0,5.8,Spanish,v3,Large,,57
0.19852941176470587,0.36,0.2559241706161137,75.0,BEHÖRDE,0,5.9,Spanish,v3,Large,,58
0.19852941176470587,0.35526315789473684,0.25471698113207547,76.0,BEHÖRDE,0,6.0,Spanish,v3,Large,,59
0.25,0.3333333333333333,0.28571428571428575,102.0,BEHÖRDE,0,6.1,Spanish,v3,Large,,60
0.2647058823529412,0.34951456310679613,0.301255230125523,103.0,BEHÖRDE,0,6.2,Spanish,v3,Large,,61
