Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
JOURNALIST,5248,160,0,0,0.0,Spanish,Base,0.0
MEDIEN,5248,160,9,9,1.6666666666666667,Spanish,Base,0.909090909090909
PARTEI,5248,160,51,24,1.5686274509803921,Spanish,Base,0.8823529411764706
POLITIKER,5248,160,56,48,2.3214285714285716,Spanish,Base,0.725
BEHÖRDE,5248,170,52,30,2.5576923076923075,Spanish,Base,0.7394957983193275
JOURNALIST,5248,170,1,1,2.0,Spanish,Base,0.0
MEDIEN,5248,170,10,10,1.7,Spanish,Base,0.9333333333333332
PARTEI,5248,170,53,25,1.6603773584905661,Spanish,Base,0.8923076923076922
POLITIKER,5248,170,62,54,2.338709677419355,Spanish,Base,0.7804878048780488
BEHÖRDE,5248,180,58,32,2.5689655172413794,Spanish,Base,0.736842105263158
JOURNALIST,5248,180,1,1,2.0,Spanish,Base,0.0
MEDIEN,5248,180,11,10,1.7272727272727273,Spanish,Base,0.9777777777777776
PARTEI,5248,180,55,25,1.6363636363636365,Spanish,Base,0.8823529411764706
POLITIKER,5248,180,66,58,2.378787878787879,Spanish,Base,0.7441860465116279
BEHÖRDE,5248,190,62,32,2.532258064516129,Spanish,Base,0.75
JOURNALIST,5248,190,1,1,2.0,Spanish,Base,0.0
MEDIEN,5248,190,13,12,1.7692307692307692,Spanish,Base,1.0
PARTEI,5248,190,60,28,1.6166666666666667,Spanish,Base,0.8787878787878788
POLITIKER,5248,190,73,59,2.3013698630136985,Spanish,Base,0.7710843373493976
BEHÖRDE,5248,200,65,32,2.4923076923076923,Spanish,Base,0.7321428571428572
JOURNALIST,5248,200,1,1,2.0,Spanish,Base,0.0
MEDIEN,5248,200,13,12,1.7692307692307692,Spanish,Base,0.9565217391304348
PARTEI,5248,200,61,29,1.6229508196721312,Spanish,Base,0.8571428571428571
POLITIKER,5248,200,78,63,2.358974358974359,Spanish,Base,0.725
BEHÖRDE,5248,210,74,37,2.5135135135135136,Spanish,Base,0.7610619469026547
JOURNALIST,5248,210,1,1,2.0,Spanish,Base,0.0
MEDIEN,5248,210,13,12,1.7692307692307692,Spanish,Base,0.888888888888889
PARTEI,5248,210,64,29,1.625,Spanish,Base,0.8923076923076922
POLITIKER,5248,210,86,65,2.3255813953488373,Spanish,Base,0.7901234567901233
BEHÖRDE,5248,220,76,39,2.513157894736842,Spanish,Base,0.736842105263158
JOURNALIST,5248,220,3,3,2.0,Spanish,Base,0.0
MEDIEN,5248,220,13,12,1.7692307692307692,Spanish,Base,0.909090909090909
PARTEI,5248,220,66,29,1.6666666666666667,Spanish,Base,0.90625
POLITIKER,5248,220,90,66,2.311111111111111,Spanish,Base,0.776470588235294
BEHÖRDE,5248,230,80,42,2.525,Spanish,Base,0.7663551401869159
JOURNALIST,5248,230,3,3,2.0,Spanish,Base,0.0
MEDIEN,5248,230,14,13,1.7857142857142858,Spanish,Base,0.8636363636363636
PARTEI,5248,230,77,30,1.6753246753246753,Spanish,Base,0.9090909090909092
POLITIKER,5248,230,93,68,2.2903225806451615,Spanish,Base,0.7804878048780488
BEHÖRDE,5248,240,84,43,2.5238095238095237,Spanish,Base,0.7413793103448276
JOURNALIST,5248,240,3,3,2.0,Spanish,Base,0.0
MEDIEN,5248,240,14,13,1.7857142857142858,Spanish,Base,0.9166666666666666
PARTEI,5248,240,79,31,1.7088607594936709,Spanish,Base,0.8923076923076922
POLITIKER,5248,240,102,77,2.392156862745098,Spanish,Base,0.7901234567901233
BEHÖRDE,5248,241,85,43,2.5058823529411764,Spanish,Base,0.7256637168141592
JOURNALIST,5248,241,3,3,2.0,Spanish,Base,0.0
MEDIEN,5248,241,14,13,1.7857142857142858,Spanish,Base,0.909090909090909
PARTEI,5248,241,79,31,1.7088607594936709,Spanish,Base,0.8923076923076922
POLITIKER,5248,241,102,77,2.392156862745098,Spanish,Base,0.8250000000000001
BEHÖRDE,6274,20,8,7,2.75,Spanish,Base,0.5172413793103449
JOURNALIST,6274,20,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,20,0,0,0.0,Spanish,Base,0.6486486486486486
PARTEI,6274,20,7,5,1.0,Spanish,Base,0.7450980392156863
POLITIKER,6274,20,5,5,2.4,Spanish,Base,0.7804878048780488
BEHÖRDE,6274,30,9,8,2.7777777777777777,Spanish,Base,0.5
JOURNALIST,6274,30,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,30,0,0,0.0,Spanish,Base,0.6666666666666667
PARTEI,6274,30,11,9,1.6363636363636365,Spanish,Base,0.7428571428571429
POLITIKER,6274,30,12,11,2.25,Spanish,Base,0.776470588235294
BEHÖRDE,6274,40,12,11,2.5833333333333335,Spanish,Base,0.6086956521739131
JOURNALIST,6274,40,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,40,0,0,0.0,Spanish,Base,0.6486486486486486
PARTEI,6274,40,13,10,1.6153846153846154,Spanish,Base,0.7722772277227723
POLITIKER,6274,40,18,17,2.3333333333333335,Spanish,Base,0.7619047619047619
BEHÖRDE,6274,50,16,14,2.6875,Spanish,Base,0.6268656716417911
JOURNALIST,6274,50,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,50,0,0,0.0,Spanish,Base,0.5882352941176471
PARTEI,6274,50,14,10,1.5714285714285714,Spanish,Base,0.8
POLITIKER,6274,50,22,21,2.5,Spanish,Base,0.7857142857142856
BEHÖRDE,6274,60,21,17,2.6666666666666665,Spanish,Base,0.5396825396825397
JOURNALIST,6274,60,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,60,0,0,0.0,Spanish,Base,0.5945945945945945
PARTEI,6274,60,17,11,1.8235294117647058,Spanish,Base,0.8043478260869564
POLITIKER,6274,60,24,22,2.4583333333333335,Spanish,Base,0.8048780487804877
BEHÖRDE,6274,70,24,20,2.875,Spanish,Base,0.5846153846153848
JOURNALIST,6274,70,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,70,0,0,0.0,Spanish,Base,0.5714285714285714
PARTEI,6274,70,23,16,1.7826086956521738,Spanish,Base,0.8172043010752689
POLITIKER,6274,70,31,28,2.3548387096774195,Spanish,Base,0.8395061728395062
BEHÖRDE,6274,80,26,20,2.8461538461538463,Spanish,Base,0.6
JOURNALIST,6274,80,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,80,0,0,0.0,Spanish,Base,0.65
PARTEI,6274,80,28,17,1.6428571428571428,Spanish,Base,0.8080808080808081
POLITIKER,6274,80,31,28,2.3548387096774195,Spanish,Base,0.8045977011494253
BEHÖRDE,6274,90,31,22,2.806451612903226,Spanish,Base,0.6086956521739131
JOURNALIST,6274,90,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,90,2,2,2.0,Spanish,Base,0.6976744186046512
PARTEI,6274,90,28,17,1.6428571428571428,Spanish,Base,0.8484848484848485
POLITIKER,6274,90,36,30,2.4166666666666665,Spanish,Base,0.7857142857142856
BEHÖRDE,6274,100,31,22,2.806451612903226,Spanish,Base,0.6060606060606061
JOURNALIST,6274,100,0,0,0.0,Spanish,Base,1.0
MEDIEN,6274,100,3,3,2.0,Spanish,Base,0.7317073170731707
PARTEI,6274,100,30,19,1.6333333333333333,Spanish,Base,0.8247422680412371
POLITIKER,6274,100,40,34,2.5,Spanish,Base,0.7865168539325842
BEHÖRDE,6274,110,34,24,2.764705882352941,Spanish,Base,0.7352941176470589
JOURNALIST,6274,110,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,110,9,9,1.8888888888888888,Spanish,Base,0.8095238095238095
PARTEI,6274,110,31,20,1.6451612903225807,Spanish,Base,0.8
POLITIKER,6274,110,41,34,2.4878048780487805,Spanish,Base,0.8095238095238095
BEHÖRDE,6274,120,40,27,2.9,Spanish,Base,0.6575342465753424
JOURNALIST,6274,120,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,120,9,9,1.8888888888888888,Spanish,Base,0.7727272727272727
PARTEI,6274,120,33,20,1.6666666666666667,Spanish,Base,0.8399999999999999
POLITIKER,6274,120,50,39,2.46,Spanish,Base,0.776470588235294
BEHÖRDE,6274,130,44,28,2.8181818181818183,Spanish,Base,0.5714285714285714
JOURNALIST,6274,130,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,130,15,13,1.7333333333333334,Spanish,Base,0.7391304347826088
PARTEI,6274,130,39,22,1.5897435897435896,Spanish,Base,0.8602150537634408
POLITIKER,6274,130,59,48,2.6271186440677967,Spanish,Base,0.868421052631579
BEHÖRDE,6274,140,51,34,2.9019607843137254,Spanish,Base,0.6571428571428571
JOURNALIST,6274,140,0,0,0.0,Spanish,Base,0.0
