Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
English,Large,6274,20,68,156,200,0.6647398843930636,0.6182795698924731,0.71875,0.6554621848739495,0.0,0.28571428571428575,0.6666666666666666,0.6829268292682927
English,Large,6274,30,68,219,300,0.6912181303116147,0.6321243523316062,0.7625,0.6776859504132232,0.0,0.3333333333333333,0.6666666666666666,0.7109004739336494
English,Large,6274,40,68,375,400,0.7220630372492836,0.6666666666666666,0.7875,0.6991869918699187,0.0,0.3333333333333333,0.6666666666666666,0.751219512195122
English,Large,6274,50,68,347,500,0.7558139534883721,0.7065217391304348,0.8125,0.6991869918699187,0.0,0.3333333333333333,0.6666666666666666,0.8099999999999999
English,Large,6274,60,68,463,600,0.7602339181286549,0.7142857142857143,0.8125,0.7,0.0,0.3333333333333333,0.6666666666666666,0.8159203980099502
English,Large,6274,70,68,501,700,0.7705882352941177,0.7277777777777777,0.81875,0.6949152542372881,0.0,0.3333333333333333,0.7142857142857143,0.8316831683168318
English,Large,6274,80,68,762,800,0.7820895522388059,0.7485714285714286,0.81875,0.7241379310344829,0.0,0.3333333333333333,0.7142857142857143,0.8341708542713568
English,Large,6274,90,68,378,900,0.7797619047619048,0.7443181818181818,0.81875,0.717948717948718,0.0,0.3333333333333333,0.875,0.8223350253807107
English,Large,6274,100,68,420,1000,0.7894736842105263,0.7417582417582418,0.84375,0.717948717948718,0.0,0.3333333333333333,0.823529411764706,0.8415841584158417
English,Large,6274,110,68,1076,1100,0.7823529411764707,0.7388888888888889,0.83125,0.7241379310344829,0.0,0.28571428571428575,0.823529411764706,0.83
English,Large,6274,120,68,841,1200,0.7953216374269005,0.7472527472527473,0.85,0.7350427350427349,0.0,0.3333333333333333,0.823529411764706,0.8415841584158417
English,Large,6274,130,68,613,1300,0.7942028985507247,0.7405405405405405,0.85625,0.7130434782608696,0.0,0.3333333333333333,0.823529411764706,0.8502415458937198
English,Large,6274,140,68,1329,1400,0.7999999999999999,0.745945945945946,0.8625,0.7130434782608696,0.0,0.3333333333333333,0.823529411764706,0.8599033816425121
English,Large,6274,150,68,1463,1500,0.7965616045845272,0.7354497354497355,0.86875,0.7413793103448276,0.0,0.3333333333333333,0.823529411764706,0.8380952380952381
English,Large,6274,157,68,991,1570,0.8035714285714286,0.7670454545454546,0.84375,0.719298245614035,0.0,0.3333333333333333,0.823529411764706,0.864321608040201
English,Large,7317,20,68,188,200,0.7247191011235956,0.6683937823834197,0.7914110429447853,0.7321428571428572,0.0,0.0,0.6875,0.7623762376237623
English,Large,7317,30,68,222,300,0.7034883720930232,0.6685082872928176,0.7423312883435583,0.6601941747572816,0.0,0.0,0.6666666666666667,0.7562189054726367
English,Large,7317,40,68,353,400,0.7344632768361583,0.680628272251309,0.7975460122699386,0.7207207207207207,0.0,0.0,0.6857142857142857,0.7839195979899498
English,Large,7317,50,68,330,500,0.7405247813411079,0.7055555555555556,0.7791411042944786,0.7079646017699115,0.0,0.0,0.7272727272727272,0.78125
English,Large,7317,60,68,559,600,0.750733137829912,0.7191011235955056,0.7852760736196319,0.6981132075471698,0.0,0.0,0.787878787878788,0.7878787878787878
English,Large,7317,70,68,400,700,0.7430167597765364,0.6820512820512821,0.8159509202453987,0.7241379310344828,0.0,0.0,0.7058823529411765,0.7783251231527094
English,Large,7317,80,68,671,800,0.7621776504297993,0.7150537634408602,0.8159509202453987,0.7272727272727272,0.0,0.0,0.7586206896551724,0.7961165048543689
English,Large,7317,90,68,820,900,0.7762039660056658,0.7210526315789474,0.8404907975460123,0.7610619469026547,0.0,0.0,0.7586206896551724,0.8097560975609758
English,Large,7317,100,68,657,1000,0.7758620689655172,0.7297297297297297,0.8282208588957055,0.7454545454545455,0.0,0.0,0.787878787878788,0.81
English,Large,7317,110,68,523,1100,0.7670454545454546,0.7142857142857143,0.8282208588957055,0.7207207207207207,0.0,0.0,0.8484848484848485,0.7941176470588235
English,Large,7317,120,68,1189,1200,0.7899159663865546,0.7268041237113402,0.8650306748466258,0.7818181818181817,0.0,0.0,0.8387096774193549,0.8056872037914692
English,Large,7317,130,68,628,1300,0.7853107344632769,0.7277486910994765,0.852760736196319,0.7894736842105263,0.0,0.0,0.823529411764706,0.7960199004975125
English,Large,7317,140,68,575,1400,0.8034188034188036,0.75,0.8650306748466258,0.8035714285714286,0.0,0.0,0.875,0.8078817733990148
English,Large,7317,150,68,586,1500,0.7932011331444758,0.7368421052631579,0.8588957055214724,0.8,0.0,0.0,0.8823529411764706,0.7902439024390244
English,Large,7317,157,68,1361,1570,0.8148148148148148,0.7606382978723404,0.8773006134969326,0.8108108108108109,0.0,0.0,0.9032258064516129,0.8195121951219512
English,Large,6378,20,68,198,200,0.7472527472527473,0.6834170854271356,0.8242424242424242,0.6046511627906976,0.0,0.0,0.8275862068965518,0.8032786885245902
English,Large,6378,30,68,68,300,0.773841961852861,0.7029702970297029,0.8606060606060606,0.6666666666666667,0.0,0.0,0.8666666666666666,0.8112449799196787
English,Large,6378,40,68,81,400,0.8,0.7219512195121951,0.896969696969697,0.7586206896551724,0.0,0.0,0.8666666666666666,0.8127490039840638
English,Large,6378,50,68,137,500,0.8166666666666667,0.7538461538461538,0.8909090909090909,0.7857142857142858,0.0,0.0,0.8666666666666666,0.8278688524590164
English,Large,6378,60,68,511,600,0.8133704735376045,0.7525773195876289,0.8848484848484849,0.7764705882352942,0.0,0.0,0.8666666666666666,0.8264462809917356
