Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
Spanish,Base,6274,20,104,152,200,0.692857142857143,0.6598639455782312,0.7293233082706767,0.5172413793103449,0.0,0.6486486486486486,0.7450980392156863,0.7804878048780488
Spanish,Base,6274,30,104,168,300,0.6872852233676976,0.6329113924050633,0.7518796992481203,0.5,0.0,0.6666666666666667,0.7428571428571429,0.776470588235294
Spanish,Base,6274,40,104,350,400,0.7167235494880545,0.65625,0.7894736842105263,0.6086956521739131,1.0,0.6486486486486486,0.7722772277227723,0.7619047619047619
Spanish,Base,6274,50,104,412,500,0.7304964539007093,0.6912751677852349,0.7744360902255639,0.6268656716417911,1.0,0.5882352941176471,0.8,0.7857142857142856
Spanish,Base,6274,60,104,482,600,0.717391304347826,0.6923076923076923,0.7443609022556391,0.5396825396825397,1.0,0.5945945945945945,0.8043478260869564,0.8048780487804877
Spanish,Base,6274,70,104,372,700,0.7391304347826089,0.7132867132867133,0.7669172932330827,0.5846153846153848,1.0,0.5714285714285714,0.8172043010752689,0.8395061728395062
Spanish,Base,6274,80,104,367,800,0.738255033557047,0.6666666666666666,0.8270676691729323,0.6,1.0,0.65,0.8080808080808081,0.8045977011494253
Spanish,Base,6274,90,104,711,900,0.7542087542087542,0.6829268292682927,0.8421052631578947,0.6086956521739131,1.0,0.6976744186046512,0.8484848484848485,0.7857142857142856
Spanish,Base,6274,100,104,437,1000,0.752542372881356,0.6851851851851852,0.8345864661654135,0.6060606060606061,1.0,0.7317073170731707,0.8247422680412371,0.7865168539325842
Spanish,Base,6274,110,104,1024,1100,0.7862068965517242,0.7261146496815286,0.8571428571428571,0.7352941176470589,0.0,0.8095238095238095,0.8,0.8095238095238095
Spanish,Base,6274,120,104,1186,1200,0.7656765676567657,0.6823529411764706,0.8721804511278195,0.6575342465753424,0.0,0.7727272727272727,0.8399999999999999,0.776470588235294
Spanish,Base,6274,130,104,1279,1300,0.7665505226480837,0.7142857142857143,0.8270676691729323,0.5714285714285714,0.0,0.7391304347826088,0.8602150537634408,0.868421052631579
Spanish,Base,6274,140,104,1291,1400,0.7793103448275863,0.7197452229299363,0.849624060150376,0.6571428571428571,0.0,0.761904761904762,0.851063829787234,0.8192771084337349
Spanish,Base,6274,150,104,1171,1500,0.777027027027027,0.7055214723926381,0.8646616541353384,0.6575342465753424,0.0,0.8444444444444444,0.8085106382978724,0.8192771084337349
Spanish,Base,6274,160,104,1551,1600,0.785234899328859,0.7090909090909091,0.8796992481203008,0.6575342465753424,0.0,0.8260869565217391,0.8210526315789475,0.8433734939759037
Spanish,Base,6274,170,104,1536,1700,0.8083623693379791,0.7532467532467533,0.8721804511278195,0.6571428571428571,0.0,0.8372093023255814,0.888888888888889,0.8433734939759037
Spanish,Base,6274,180,104,1559,1800,0.7737226277372262,0.75177304964539,0.7969924812030075,0.6865671641791046,0.0,0.761904761904762,0.7857142857142858,0.8500000000000001
Spanish,Base,6274,190,104,1526,1900,0.8181818181818182,0.7647058823529411,0.8796992481203008,0.7384615384615384,0.0,0.8444444444444444,0.8297872340425532,0.8641975308641975
Spanish,Base,6274,200,104,1382,2000,0.7956989247311828,0.7602739726027398,0.8345864661654135,0.676056338028169,0.0,0.7999999999999999,0.8314606741573034,0.8717948717948718
Spanish,Base,6274,210,104,2060,2100,0.8071428571428572,0.7687074829931972,0.849624060150376,0.676056338028169,0.0,0.761904761904762,0.8636363636363636,0.8974358974358975
Spanish,Base,6274,220,104,2174,2200,0.8166089965397924,0.7564102564102564,0.8872180451127819,0.6956521739130435,0.0,0.8444444444444444,0.8387096774193548,0.888888888888889
Spanish,Base,6274,230,104,1383,2300,0.8480565371024734,0.8,0.9022556390977443,0.7142857142857143,0.0,0.8636363636363636,0.9195402298850575,0.888888888888889
Spanish,Base,6274,240,104,1538,2400,0.8561403508771931,0.8026315789473685,0.9172932330827067,0.7042253521126761,0.0,0.9090909090909091,0.9176470588235294,0.9047619047619048
Spanish,Base,6274,241,104,1642,2410,0.8350877192982455,0.7828947368421053,0.8947368421052632,0.6666666666666665,0.0,0.8837209302325582,0.9195402298850575,0.878048780487805
Spanish,Base,7317,20,104,194,200,0.6796875,0.635036496350365,0.7310924369747899,0.4864864864864864,1.0,0.3333333333333333,0.7945205479452054,0.7741935483870968
Spanish,Base,7317,30,104,116,300,0.6938775510204083,0.6746031746031746,0.7142857142857143,0.5217391304347827,1.0,0.36363636363636365,0.8115942028985507,0.7608695652173914
Spanish,Base,7317,40,104,277,400,0.6904761904761905,0.6541353383458647,0.7310924369747899,0.5352112676056338,1.0,0.30769230769230765,0.8115942028985507,0.7578947368421053
Spanish,Base,7317,50,104,335,500,0.7258064516129032,0.6976744186046512,0.7563025210084033,0.5675675675675675,1.0,0.6,0.8484848484848485,0.7659574468085107
Spanish,Base,7317,60,104,113,600,0.708171206225681,0.6594202898550725,0.7647058823529411,0.5974025974025974,1.0,0.3333333333333333,0.8115942028985507,0.7578947368421053
Spanish,Base,7317,70,104,176,700,0.704119850187266,0.6351351351351351,0.7899159663865546,0.6,1.0,0.5,0.7945205479452054,0.7446808510638298
Spanish,Base,7317,80,104,234,800,0.71875,0.6715328467153284,0.773109243697479,0.6153846153846153,1.0,0.5,0.8059701492537314,0.7578947368421053
Spanish,Base,7317,90,104,797,900,0.7320754716981133,0.6643835616438356,0.8151260504201681,0.5977011494252874,1.0,0.6666666666666666,0.8656716417910447,0.7578947368421053
