Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
BEHÖRDE,6274,50,24,13,1.4583333333333333,English,Large,0.6991869918699187
JOURNALIST,6274,50,0,0,0.0,English,Large,0.0
MEDIEN,6274,50,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,50,3,3,1.3333333333333333,English,Large,0.6666666666666666
POLITIKER,6274,50,47,26,1.5957446808510638,English,Large,0.8099999999999999
BEHÖRDE,6274,60,27,13,1.4074074074074074,English,Large,0.7
JOURNALIST,6274,60,0,0,0.0,English,Large,0.0
MEDIEN,6274,60,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,60,3,3,1.3333333333333333,English,Large,0.6666666666666666
POLITIKER,6274,60,59,33,1.5932203389830508,English,Large,0.8159203980099502
BEHÖRDE,6274,70,29,14,1.5172413793103448,English,Large,0.6949152542372881
JOURNALIST,6274,70,0,0,0.0,English,Large,0.0
MEDIEN,6274,70,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,70,3,3,1.3333333333333333,English,Large,0.7142857142857143
POLITIKER,6274,70,74,42,1.554054054054054,English,Large,0.8316831683168318
BEHÖRDE,6274,80,29,14,1.5172413793103448,English,Large,0.7241379310344829
JOURNALIST,6274,80,0,0,0.0,English,Large,0.0
MEDIEN,6274,80,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,80,3,3,1.3333333333333333,English,Large,0.7142857142857143
POLITIKER,6274,80,83,45,1.6024096385542168,English,Large,0.8341708542713568
BEHÖRDE,6274,90,35,15,1.542857142857143,English,Large,0.717948717948718
JOURNALIST,6274,90,0,0,0.0,English,Large,0.0
MEDIEN,6274,90,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,90,7,6,1.2857142857142858,English,Large,0.875
POLITIKER,6274,90,97,53,1.5876288659793814,English,Large,0.8223350253807107
BEHÖRDE,6274,100,36,15,1.5277777777777777,English,Large,0.717948717948718
JOURNALIST,6274,100,0,0,0.0,English,Large,0.0
MEDIEN,6274,100,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,100,11,10,1.3636363636363635,English,Large,0.823529411764706
POLITIKER,6274,100,116,58,1.603448275862069,English,Large,0.8415841584158417
BEHÖRDE,6274,110,44,19,1.6590909090909092,English,Large,0.7241379310344829
JOURNALIST,6274,110,0,0,0.0,English,Large,0.0
MEDIEN,6274,110,0,0,0.0,English,Large,0.2857142857142857
PARTEI,6274,110,20,12,1.45,English,Large,0.823529411764706
POLITIKER,6274,110,123,59,1.5772357723577235,English,Large,0.83
BEHÖRDE,6274,120,45,19,1.6444444444444444,English,Large,0.7350427350427349
JOURNALIST,6274,120,0,0,0.0,English,Large,0.0
MEDIEN,6274,120,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,120,26,14,1.3461538461538463,English,Large,0.823529411764706
POLITIKER,6274,120,132,62,1.5833333333333333,English,Large,0.8415841584158417
BEHÖRDE,6274,130,66,27,1.7575757575757576,English,Large,0.7130434782608696
JOURNALIST,6274,130,0,0,0.0,English,Large,0.0
MEDIEN,6274,130,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,130,27,15,1.3333333333333333,English,Large,0.823529411764706
POLITIKER,6274,130,154,68,1.525974025974026,English,Large,0.8502415458937198
BEHÖRDE,6274,140,75,29,1.6666666666666667,English,Large,0.7130434782608696
JOURNALIST,6274,140,0,0,0.0,English,Large,0.0
MEDIEN,6274,140,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,140,29,15,1.4482758620689655,English,Large,0.823529411764706
POLITIKER,6274,140,164,71,1.5060975609756098,English,Large,0.8599033816425121
BEHÖRDE,6274,150,77,29,1.6753246753246753,English,Large,0.7413793103448276
JOURNALIST,6274,150,0,0,0.0,English,Large,0.0
MEDIEN,6274,150,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,150,30,15,1.4333333333333333,English,Large,0.823529411764706
POLITIKER,6274,150,178,77,1.4943820224719102,English,Large,0.8380952380952381
BEHÖRDE,6274,157,78,29,1.6794871794871795,English,Large,0.719298245614035
JOURNALIST,6274,157,0,0,0.0,English,Large,0.0
MEDIEN,6274,157,0,0,0.0,English,Large,0.3333333333333333
PARTEI,6274,157,33,16,1.393939393939394,English,Large,0.823529411764706
POLITIKER,6274,157,202,89,1.504950495049505,English,Large,0.864321608040201
BEHÖRDE,6378,20,5,5,1.8,English,Large,0.6046511627906976
JOURNALIST,6378,20,0,0,0.0,English,Large,0.0
MEDIEN,6378,20,0,0,0.0,English,Large,0.0
PARTEI,6378,20,2,1,1.0,English,Large,0.8275862068965518
POLITIKER,6378,20,16,10,1.5,English,Large,0.8032786885245902
BEHÖRDE,6378,30,10,8,1.6,English,Large,0.6666666666666667
JOURNALIST,6378,30,0,0,0.0,English,Large,0.0
MEDIEN,6378,30,0,0,0.0,English,Large,0.0
PARTEI,6378,30,7,5,1.0,English,Large,0.8666666666666666
POLITIKER,6378,30,30,19,1.3666666666666667,English,Large,0.8112449799196787
BEHÖRDE,6378,40,15,11,1.4,English,Large,0.7586206896551724
JOURNALIST,6378,40,0,0,0.0,English,Large,0.0
MEDIEN,6378,40,0,0,0.0,English,Large,0.0
PARTEI,6378,40,9,7,1.4444444444444444,English,Large,0.8666666666666666
POLITIKER,6378,40,39,24,1.4615384615384615,English,Large,0.8127490039840638
BEHÖRDE,6378,50,20,12,1.3,English,Large,0.7857142857142858
JOURNALIST,6378,50,0,0,0.0,English,Large,0.0
MEDIEN,6378,50,0,0,0.0,English,Large,0.0
PARTEI,6378,50,10,8,1.4,English,Large,0.8666666666666666
POLITIKER,6378,50,49,27,1.4285714285714286,English,Large,0.8278688524590164
BEHÖRDE,6378,60,30,14,1.3,English,Large,0.7764705882352942
JOURNALIST,6378,60,0,0,0.0,English,Large,0.0
MEDIEN,6378,60,0,0,0.0,English,Large,0.0
PARTEI,6378,60,14,11,1.4285714285714286,English,Large,0.8666666666666666
POLITIKER,6378,60,78,38,1.3717948717948718,English,Large,0.8264462809917356
BEHÖRDE,6378,70,33,15,1.303030303030303,English,Large,0.7415730337078651
JOURNALIST,6378,70,0,0,0.0,English,Large,0.0
MEDIEN,6378,70,1,1,4.0,English,Large,0.0
PARTEI,6378,70,16,13,1.4375,English,Large,0.896551724137931
POLITIKER,6378,70,88,45,1.3977272727272727,English,Large,0.8571428571428571
BEHÖRDE,6378,80,38,17,1.4473684210526316,English,Large,0.7586206896551724
JOURNALIST,6378,80,0,0,0.0,English,Large,0.0
MEDIEN,6378,80,1,1,4.0,English,Large,0.0
