entity_name,label_name,label
Leute,Medien,0
Precht,Medien,0
Arbeitsplatz,Medien,0
Region,Medien,0
Markt,Medien,0
B,Partei,1
Die Frage,Medien,0
Ratgeber,Medien,0
Die Experten,Medien,0
"Gerhard,Schröders",Journalist,3
Unkraut,Medien,0
