precision,recall,f1,number,category,noise,fold,epoch,data_sample,accuracy,steps
0.0,0.0,0.0,0.0,BEHÖRDE,1.0,0,0.1,v1,,0
0.0,0.0,0.0,344.0,BEHÖRDE,1.0,0,0.2,v1,,1
0.0011029411764705882,0.012072434607645875,0.00202122283981809,497.0,BEHÖRDE,1.0,0,0.3,v1,,2
0.022794117647058822,0.12614445574771108,0.03861124085318387,983.0,BEHÖRDE,1.0,0,0.4,v1,,3
0.09191176470588236,0.09815469179426776,0.09493070058857034,5094.0,BEHÖRDE,1.0,0,0.5,v1,,4
0.18290441176470587,0.19632991318074192,0.18937952036543584,5068.0,BEHÖRDE,1.0,0,0.6,v1,,5
0.23051470588235295,0.2563892864444899,0.2427644952085955,4891.0,BEHÖRDE,1.0,0,0.7,v1,,6
0.2580882352941177,0.27818506043193975,0.2677600839134166,5047.0,BEHÖRDE,1.0,0,0.8,v1,,7
0.2650735294117647,0.3475536273800916,0.30076128897695276,4149.0,BEHÖRDE,1.0,0,0.9,v1,,8
0.3382352941176471,0.3609966647047283,0.3492455158014615,5097.0,BEHÖRDE,1.0,0,1.0,v1,,9
0.3518382352941177,0.3948019801980198,0.3720839813374806,4848.0,BEHÖRDE,1.0,0,1.1,v1,,10
0.378125,0.4023865414710485,0.3898786959818044,5112.0,BEHÖRDE,1.0,0,1.2,v1,,11
0.39375,0.4311594202898551,0.41160645657186784,4968.0,BEHÖRDE,1.0,0,1.3,v1,,12
0.3987132352941177,0.46099893730074387,0.42759980285855104,4705.0,BEHÖRDE,1.0,0,1.4,v1,,13
0.4431985294117647,0.38644013463696103,0.4128778148814111,6239.0,BEHÖRDE,1.0,0,1.5,v1,,14
0.4514705882352941,0.3879936808846761,0.41733220050977055,6330.0,BEHÖRDE,1.0,0,1.6,v1,,15
0.5047794117647059,0.3672595960946904,0.42517612448711,7477.0,BEHÖRDE,1.0,0,1.7,v1,,16
0.5136029411764705,0.39374295377677565,0.4457562220804084,7096.0,BEHÖRDE,1.0,0,1.8,v1,,17
0.48915441176470587,0.4936920222634508,0.4914127423822715,5390.0,BEHÖRDE,1.0,0,1.9,v1,,18
0.5858455882352941,0.378548521202043,0.45991774298289917,8419.0,BEHÖRDE,1.0,0,2.0,v1,,19
0.5408088235294117,0.504717790358552,0.5221403851273404,5829.0,BEHÖRDE,1.0,0,2.1,v1,,20
0.5827205882352942,0.4569040069184203,0.5121990628534496,6938.0,BEHÖRDE,1.0,0,2.2,v1,,21
0.6332720588235294,0.3609597652975692,0.459823812066204,9544.0,BEHÖRDE,1.0,0,2.3,v1,,22
0.5974264705882353,0.5260602136613791,0.5594766741263556,6178.0,BEHÖRDE,1.0,0,2.4,v1,,23
0.5753676470588235,0.6067067261097112,0.5906217567695065,5159.0,BEHÖRDE,1.0,0,2.5,v1,,24
0.6047794117647058,0.594614133381529,0.5996536954342476,5533.0,BEHÖRDE,1.0,0,2.6,v1,,25
0.6176470588235294,0.5877208326045129,0.6023124495832214,5717.0,BEHÖRDE,1.0,0,2.7,v1,,26
0.6409926470588235,0.49446965399886555,0.5582772974703811,7052.0,BEHÖRDE,1.0,0,2.8,v1,,27
0.6481617647058824,0.5990485898742779,0.6226381776443581,5886.0,BEHÖRDE,1.0,0,2.9,v1,,28
0.7029411764705882,0.49694606887589343,0.5822611343738103,7695.0,BEHÖRDE,1.0,0,3.0,v1,,29
0.6935661764705883,0.5431121347344178,0.6091870509405021,6947.0,BEHÖRDE,1.0,0,3.1,v1,,30
0.6764705882352942,0.6162089752176825,0.6449351559761655,5972.0,BEHÖRDE,1.0,0,3.2,v1,,31
0.6988970588235294,0.562093435836783,0.6230744018354637,6764.0,BEHÖRDE,1.0,0,3.3,v1,,32
0.7185661764705882,0.5438230383973289,0.6191004117833386,7188.0,BEHÖRDE,1.0,0,3.4,v1,,33
0.7220588235294118,0.5685337964973224,0.6361648716495263,6909.0,BEHÖRDE,1.0,0,3.5,v1,,34
0.6863970588235294,0.6483764542455287,0.6668452540405393,5759.0,BEHÖRDE,1.0,0,3.6,v1,,35
0.675,0.6090562282302207,0.6403348155898511,6029.0,BEHÖRDE,1.0,0,3.7,v1,,36
0.7310661764705882,0.6263978579303827,0.6746967512087539,6349.0,BEHÖRDE,1.0,0,3.8,v1,,37
0.7375,0.5980026829631838,0.660465881965594,6709.0,BEHÖRDE,1.0,0,3.9,v1,,38
0.7088235294117647,0.6975397973950795,0.7031363967906638,5528.0,BEHÖRDE,1.0,0,4.0,v1,,39
0.7487132352941176,0.6128498344869094,0.674002978652987,6646.0,BEHÖRDE,1.0,0,4.1,v1,,40
0.7261029411764706,0.7332467050306293,0.7296573381361411,5387.0,BEHÖRDE,1.0,0,4.2,v1,,41
0.7147058823529412,0.7422680412371134,0.7282262595991758,5238.0,BEHÖRDE,1.0,0,4.3,v1,,42
0.7623161764705882,0.630147394013068,0.6899592380001665,6581.0,BEHÖRDE,1.0,0,4.4,v1,,43
0.7560661764705883,0.6448730009407337,0.6960568624132679,6378.0,BEHÖRDE,1.0,0,4.5,v1,,44
0.0,0.0,0.0,0.0,JOURNALIST,1.0,0,0.1,v1,,0
0.0004067520846044336,0.0039603960396039604,0.0007377351530800443,505.0,JOURNALIST,1.0,0,0.2,v1,,1
0.0018303843807199512,0.010501750291715286,0.0031174229303775544,857.0,JOURNALIST,1.0,0,0.3,v1,,2
0.020744356314826115,0.022334136194438362,0.021509911429776468,4567.0,JOURNALIST,1.0,0,0.4,v1,,3
