timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-11-24T19:08:07,VanillaTrain,ac510d54-e7da-4e10-8091-1fe1d99ea35a,57024.58465409279,2.131669320983605,3.7381584344965685e-05,57.574273412821775,227.78953773436712,94.23870277404784,0.9080216610295252,3.4328753671314303,1.4916706053251474,5.832567633486117,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-24T19:22:52,Pretrain_Base_v2,c1c972d7-886d-4643-ad28-3a2cbb797c8b,12347.208629846573,0.4790295270281346,3.879658483053325e-05,54.89278436428911,163.02921108914313,94.23870277404784,0.2000648581612031,0.7875520358744552,0.3230798858660428,1.3106967799017029,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-25T13:39:08,Cleantrain_Base_v2,98a90f68-2db7-41f7-a59b-66276326d5b5,9742.50952076912,0.3765074372177795,3.8645837236816605e-05,56.71142319219672,230.9986608552542,94.23870277404784,0.1556548110684714,0.6199536631847593,0.2545724597529573,1.0301809340061878,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-25T17:41:12,Pretrain_Base_v3,5aad7842-8ea5-4045-b231-b402729ba336,14472.104686498642,0.5634060629825874,3.893048559192651e-05,58.18711904296229,230.4807476447497,94.23870277404784,0.2343197894606817,0.9285281772663864,0.3787156966021909,1.5415636633292586,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-25T19:33:05,Pretrain_Large_v1,6ae43697-4713-4864-9b43-c5b22861e714,31281.191728830338,1.2126157147090666,3.8765010144784805e-05,57.9038420814646,221.5973942650048,94.23870277404784,0.502799930270455,1.9965497208496004,0.8185491898714796,3.317898840991544,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-25T20:21:54,Cleantrain_Base_v3,c8f61df4-59da-4466-8845-2d178b6c98fa,9637.875754594805,0.3542647291280685,3.675755302813225e-05,56.21981228702686,165.97548976334346,94.23870277404784,0.1529882581024529,0.5644828485303464,0.2518504351552438,0.9693215417880428,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-25T23:04:57,Cleantrain_Large_v1,ed049291-df5b-4377-8345-1d91d9445e76,12709.533648490906,0.3813145111559606,3.0002242545007684e-05,58.24738483433157,140.04017840005133,94.23870277404784,0.1927229027409768,0.5194277035974011,0.3311832044238892,1.0433338107622658,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-26T04:34:41,Pretrain_Large_v2,7dbccd1e-b724-403b-947d-4aa182cdb869,19732.508020162582,0.756567578687709,3.83411767989478e-05,54.91740821137444,56.31686994237117,94.23870277404784,0.3177343505408889,1.2359999790769791,0.5163482711688028,2.070082600786668,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-26T07:58:59,Cleantrain_Large_v2,2e01f3ea-e73a-47e9-bfb8-3c8cbb3054b4,12255.194344043732,0.3589664172261614,2.9290960808028823e-05,54.53894473233363,78.32886197466959,94.23870277404784,0.1834988613606379,0.4794604810680596,0.3192267246183695,0.9821860670470686,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-11-26T15:42:38,Pretrain_Large_v3,b1f083a2-b6ec-4044-aacc-87b97cbc8552,19363.16533780098,0.7358927017491728,3.8004772923802656e-05,54.45709389945936,223.81849450133384,94.23870277404784,0.2930243370087266,1.2138299666187606,0.5066587266019754,2.0135130302294613,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
