Data,Model,Quantization,Fold,Epoch,Step,F1,Recall,Precision
,,,1,13,16,,,
,,,1,13,16,,,
,,,1,13,20,,,
,,,1,13,20,,,
,,,1,13,20,,,
,,,1,13,20,,,
,,,1,13,24,,,
,,,1,13,24,,,
,,,1,13,24,,,
,,,1,13,24,,,
,,,1,13,28,,,
,,,1,13,28,,,
,,,1,13,28,,,
,,,1,13,28,,,
,,,1,13,32,,,
,,,1,13,32,,,
,,,1,13,32,,,
,,,1,13,32,,,
,,,1,13,36,,,
,,,1,13,36,,,
,,,1,13,36,,,
,,,1,13,36,,,
,,,1,13,40,,,
,,,1,13,40,,,
,,,1,13,40,,,
,,,1,13,40,,,
,,,1,14,4,,,
,,,1,14,4,,,
,,,1,14,4,,,
,,,1,14,4,,,
,,,1,14,8,,,
,,,1,14,8,,,
,,,1,14,8,,,
,,,1,14,8,,,
,,,1,14,12,,,
,,,1,14,12,,,
,,,1,14,12,,,
,,,1,14,12,,,
,,,1,14,16,,,
,,,1,14,16,,,
,,,1,14,16,,,
,,,1,14,16,,,
,,,1,14,20,,,
,,,1,14,20,,,
,,,1,14,20,,,
,,,1,14,20,,,
,,,1,14,24,,,
,,,1,14,24,,,
,,,1,14,24,,,
,,,1,14,24,,,
,,,1,14,28,,,
,,,1,14,28,,,
,,,1,14,28,,,
,,,1,14,28,,,
,,,1,14,32,,,
,,,1,14,32,,,
,,,1,14,32,,,
,,,1,14,32,,,
,,,1,14,36,,,
,,,1,14,36,,,
,,,1,14,36,,,
,,,1,14,36,,,
,,,1,14,40,,,
,,,1,14,40,,,
,,,1,14,40,,,
,,,1,14,40,,,
InDomain,Base,fp32,2,12,28,0.7598039215686275,0.739268680445151,0.7815126050420168
OutDomain,Base,fp32,2,12,28,0.7352264006139677,0.7507836990595611,0.7203007518796992
Twitter,Base,fp32,2,12,28,0.8048359240069085,0.8381294964028777,0.7740863787375415
English,Base,fp32,2,12,28,0.5520361990950227,0.5951219512195122,0.5147679324894515
Spanish,Base,fp32,2,12,28,0.5944645006016848,0.6159600997506235,0.5744186046511628
InDomain,Base,fp16,2,12,28,0.7598039215686275,0.739268680445151,0.7815126050420168
OutDomain,Base,fp16,2,12,28,0.7357910906298002,0.7519623233908949,0.7203007518796992
Twitter,Base,fp16,2,12,28,0.8048359240069085,0.8381294964028777,0.7740863787375415
English,Base,fp16,2,12,28,0.5520361990950227,0.5951219512195122,0.5147679324894515
Spanish,Base,fp16,2,12,28,0.5944645006016848,0.6159600997506235,0.5744186046511628
InDomain,Base,int8,2,12,28,0.750814332247557,0.7282780410742496,0.7747899159663866
OutDomain,Base,int8,2,12,28,0.7349121466768526,0.7468944099378882,0.7233082706766917
Twitter,Base,int8,2,12,28,0.796551724137931,0.8279569892473119,0.7674418604651163
English,Base,int8,2,12,28,0.5542986425339368,0.5975609756097561,0.5168776371308017
Spanish,Base,int8,2,12,28,0.5861244019138755,0.603448275862069,0.5697674418604651
InDomain,Base,int4,2,12,28,0.6859504132231405,0.6747967479674797,0.6974789915966386
OutDomain,Base,int4,2,12,28,0.6926070038910506,0.717741935483871,0.6691729323308271
Twitter,Base,int4,2,12,28,0.7702702702702703,0.7835051546391752,0.7574750830564784
English,Base,int4,2,12,28,0.5282112845138055,0.6128133704735376,0.4641350210970464
Spanish,Base,int4,2,12,28,0.5301507537688442,0.5765027322404371,0.4906976744186046
,,,2,12,32,,,
,,,2,12,32,,,
,,,2,12,32,,,
,,,2,12,32,,,
,,,2,12,36,,,
,,,2,12,36,,,
,,,2,12,36,,,
,,,2,12,36,,,
,,,2,12,40,,,
,,,2,12,40,,,
,,,2,12,40,,,
,,,2,12,40,,,
,,,2,13,4,,,
,,,2,13,4,,,
,,,2,13,4,,,
,,,2,13,4,,,
,,,2,13,8,,,
,,,2,13,8,,,
,,,2,13,8,,,
,,,2,13,8,,,
