Data,Model,Quantization,Fold,Epoch,Step,F1,Recall,Precision
,,,1,13,28,,,
,,,1,13,28,,,
,,,1,13,28,,,
,,,1,13,28,,,
,,,1,13,32,,,
,,,1,13,32,,,
,,,1,13,32,,,
,,,1,13,32,,,
,,,1,13,36,,,
,,,1,13,36,,,
,,,1,13,36,,,
,,,1,13,36,,,
,,,1,13,40,,,
,,,1,13,40,,,
,,,1,13,40,,,
,,,1,13,40,,,
,,,1,14,4,,,
,,,1,14,4,,,
,,,1,14,4,,,
,,,1,14,4,,,
,,,1,14,8,,,
,,,1,14,8,,,
,,,1,14,8,,,
,,,1,14,8,,,
,,,1,14,12,,,
,,,1,14,12,,,
,,,1,14,12,,,
,,,1,14,12,,,
,,,1,14,16,,,
,,,1,14,16,,,
,,,1,14,16,,,
,,,1,14,16,,,
,,,1,14,20,,,
,,,1,14,20,,,
,,,1,14,20,,,
,,,1,14,20,,,
,,,1,14,24,,,
,,,1,14,24,,,
,,,1,14,24,,,
,,,1,14,24,,,
,,,1,14,28,,,
,,,1,14,28,,,
,,,1,14,28,,,
,,,1,14,28,,,
,,,1,14,32,,,
,,,1,14,32,,,
,,,1,14,32,,,
,,,1,14,32,,,
,,,1,14,36,,,
,,,1,14,36,,,
,,,1,14,36,,,
,,,1,14,36,,,
,,,1,14,40,,,
,,,1,14,40,,,
,,,1,14,40,,,
,,,1,14,40,,,
InDomain,Large,fp32,2,12,28,0.7851500789889415,0.7406855439642325,0.8352941176470589
OutDomain,Large,fp32,2,12,28,0.7761425251742835,0.8003194888178914,0.7533834586466165
Twitter,Large,fp32,2,12,28,0.7892074198988196,0.8013698630136986,0.7774086378737541
English,Large,fp32,2,12,28,0.627039627039627,0.7005208333333334,0.5675105485232067
Spanish,Large,fp32,2,12,28,0.5985401459854015,0.6275510204081632,0.5720930232558139
InDomain,Large,fp16,2,12,28,0.7851500789889415,0.7406855439642325,0.8352941176470589
OutDomain,Large,fp16,2,12,28,0.7761425251742835,0.8003194888178914,0.7533834586466165
Twitter,Large,fp16,2,12,28,0.7905405405405406,0.8041237113402062,0.7774086378737541
English,Large,fp16,2,12,28,0.627039627039627,0.7005208333333334,0.5675105485232067
Spanish,Large,fp16,2,12,28,0.5992691839220462,0.629156010230179,0.5720930232558139
InDomain,Large,int8,2,12,28,0.0,0.0,0.0
OutDomain,Large,int8,2,12,28,0.0059970014992503755,1.0,0.0030075187969924814
Twitter,Large,int8,2,12,28,0.1458966565349544,0.8571428571428571,0.07973421926910298
English,Large,int8,2,12,28,0.0,0.0,0.0
Spanish,Large,int8,2,12,28,0.0,0.0,0.0
InDomain,Large,int4,2,12,28,0.7648494711147273,0.7413249211356467,0.7899159663865546
